0	1	0.2420	9.7097
1	1	0.4842	9.5811
2	1	0.8060	9.8011
3	1	0.9628	9.7441
3	39	5.8937	4.8946
3	68	7.3605	7.7943
4	1	1.1859	9.5497
4	39	5.9712	4.7631
4	68	7.4454	7.8995
5	1	1.5329	9.4203
5	18	9.2705	8.0948
5	39	6.3362	4.6916
5	68	7.5895	7.8918
5	76	2.5030	0.9741
6	1	1.8995	9.5369
6	18	9.4740	8.2962
6	39	6.4944	4.7636
6	42	9.8706	8.6464
6	50	5.4586	0.1991
6	68	8.0269	7.6100
6	74	7.3829	3.1681
6	76	2.5904	1.1855
6	82	8.1767	9.2964
7	1	2.0441	9.2426
7	18	9.7681	8.1190
7	39	6.9514	5.0355
7	42	9.9802	8.6397
7	50	5.9175	0.5222
7	68	7.9260	7.8412
7	74	7.7818	3.2474
7	76	3.0787	1.0636
7	77	2.7881	3.6830
7	82	8.0859	9.4610
8	1	2.3129	9.4410
8	18	9.9954	8.0250
8	28	0.1179	9.2955
8	39	7.0993	4.9889
8	42	10.1869	8.5406
8	50	6.2457	0.6256
8	68	8.2339	7.6847
8	74	7.8380	3.2487
8	76	3.2938	1.2790
8	77	3.1335	3.5356
8	82	8.4243	9.2507
9	1	2.6178	9.4778
9	18	10.4694	8.2697
9	28	0.6587	9.0877
9	39	7.5495	5.1656
9	42	10.4581	8.5359
9	50	6.3939	0.4108
9	68	8.6351	7.6823
9	74	7.9650	3.3747
9	76	3.5630	1.5429
9	77	3.1680	3.7243
9	82	8.3384	9.1138
10	1	3.0736	9.4186
10	18	10.5302	8.2175
10	28	0.7711	9.1512
10	39	7.8606	5.1002
10	42	10.4927	8.2109
10	50	6.7031	0.6213
10	68	8.5636	7.7570
10	74	8.1821	3.2998
10	76	3.6445	1.3185
10	77	3.3351	3.5479
10	82	8.3974	9.2991
10	88	6.7366	6.7907
11	1	3.1997	9.3672
11	18	10.8575	8.1052
11	28	1.1959	9.2369
11	39	8.1494	4.9838
11	42	10.7706	8.1541
11	50	7.1753	0.6464
11	68	8.5386	7.8432
11	74	8.3700	3.3799
11	76	3.8811	1.5766
11	77	3.4855	3.6987
11	82	8.6586	9.0626
11	88	6.6363	6.7273
12	1	3.5229	9.3806
12	18	11.3249	8.0121
12	28	1.3834	9.2215
12	39	8.2981	5.2268
12	42	10.9155	7.9988
12	50	7.5745	0.8692
12	68	8.9098	7.9314
12	74	8.6147	3.3839
12	76	4.4374	1.7072
12	77	3.8167	3.6025
12	82	8.8534	9.0817
12	88	6.8115	6.8013
13	1	3.7432	9.4834
13	18	11.4287	8.0814
13	28	1.9235	9.1007
13	39	8.4263	5.0858
13	42	11.2299	7.7613
13	50	7.6768	0.7706
13	51	3.3210	9.8984
13	64	0.4775	1.4751
13	68	9.2774	7.8897
13	74	8.7650	3.5125
13	76	4.6261	1.8142
13	77	3.9686	3.8311
13	82	8.8965	8.8156
13	88	7.0691	6.6194
14	1	3.9537	9.2505
14	18	11.6281	8.0908
14	19	4.2454	1.5939
14	26	7.0405	1.7574
14	28	2.0927	9.1471
14	39	8.7742	5.2164
14	42	11.3640	7.6588
14	50	8.2472	0.8679
14	51	3.4771	9.8554
14	64	0.6952	1.3015
14	68	9.3899	7.8991
14	74	9.1217	3.6707
14	76	4.8973	1.9500
14	77	4.0531	3.4906
14	82	9.1540	8.5882
14	88	7.2950	6.5122
14	96	3.8157	5.7065
15	1	4.2383	9.3663
15	13	6.4987	3.6686
15	18	12.0309	7.8931
15	19	4.7319	1.7022
15	26	7.7560	1.7749
15	28	2.5587	9.3766
15	39	9.1411	5.2945
15	42	11.8329	7.5733
15	50	8.4212	1.1009
15	51	3.6808	9.8448
15	64	0.7912	1.6744
15	68	9.4779	7.8375
15	74	9.2751	3.5254
15	76	5.3097	1.8853
15	77	4.3784	3.6822
15	80	0.8637	0.3384
15	82	9.3525	8.8587
15	88	7.1743	6.6072
15	96	4.0806	5.8857
16	1	4.5065	9.3338
16	13	6.8049	3.4970
16	18	12.2338	7.7873
16	19	5.2906	1.8159
16	26	7.7722	1.9748
16	28	2.6787	9.2727
16	39	9.4483	5.1162
16	42	12.0030	7.6128
16	50	8.7079	1.0533
16	51	3.8907	9.7188
16	64	0.9728	1.4942
16	68	9.8626	7.9887
16	74	9.3013	3.6457
16	76	5.4422	2.0684
16	77	4.4443	3.7658
16	80	1.1380	0.2847
16	82	9.3606	8.5083
16	88	7.4867	6.6676
16	96	4.3752	5.9721
17	1	4.6521	9.1160
17	13	7.0379	3.4676
17	18	12.5182	7.8740
17	19	5.5435	2.0574
17	26	8.2269	1.9802
17	28	3.1408	9.3745
17	37	-0.1473	8.3463
17	39	9.5852	5.3091
17	42	12.1823	7.2610
17	50	9.2055	1.1105
17	51	3.7196	9.7150
17	64	1.1672	1.6576
17	68	9.9332	7.9914
17	74	9.6558	3.7273
17	76	5.8855	2.1020
17	77	4.7816	3.4872
17	80	1.3381	0.2248
17	82	9.5538	8.5002
17	88	7.4667	6.4017
17	96	4.8099	5.9446
18	1	4.9272	9.0511
18	13	6.9312	3.2581
18	18	12.7433	7.8706
18	19	6.0594	2.0164
18	26	8.3378	2.1245
18	28	3.5632	9.2977
18	37	0.3978	8.2249
18	39	9.9340	5.2953
18	42	12.4184	7.1330
18	50	9.5868	1.1954
18	51	4.1578	9.8026
18	64	1.2288	1.6859
18	68	10.0888	7.9661
18	74	9.6681	3.6626
18	76	6.1248	2.1393
18	77	4.8148	3.9472
18	80	1.3636	0.1065
18	82	9.6152	8.4583
18	85	6.2901	7.0419
18	88	7.4019	6.5271
18	96	4.9724	5.7541
19	1	5.2554	9.1099
19	13	7.0526	3.5648
19	18	13.1743	7.8285
19	19	6.4314	2.0469
19	26	8.8174	2.1977
19	28	3.9403	9.4077
19	37	0.7850	8.1931
19	39	10.3809	5.4634
19	42	12.5370	6.9059
19	50	9.9851	1.3241
19	51	4.3052	9.4346
19	61	3.6370	3.5131
19	64	1.3979	1.7620
19	68	10.3367	7.7564
19	74	10.0640	3.8177
19	76	6.4114	2.4735
19	77	5.1208	3.7905
19	80	1.6802	0.2543
19	82	9.6677	8.3884
19	85	6.8045	7.0574
19	88	7.4678	6.4578
19	96	5.2650	5.9906
20	1	5.6300	8.9989
20	6	9.3698	8.2556
20	13	7.1347	3.4357
20	18	13.4709	7.7439
20	19	6.9610	1.8928
20	26	9.1207	2.2100
20	28	4.4989	9.1926
20	37	1.0026	8.0414
20	39	10.7428	5.3948
20	42	12.8958	6.8898
20	50	10.2472	1.4956
20	51	4.3159	9.3838
20	61	3.6959	3.5767
20	64	1.6042	1.7926
20	68	10.5502	8.0635
20	74	10.1518	3.8174
20	76	6.5434	2.5825
20	77	5.3622	3.7320
20	80	1.8811	0.1689
20	82	9.7197	8.0513
20	85	7.2001	6.9888
20	88	7.7767	6.2461
20	90	1.8624	9.9047
20	96	5.7740	5.9528
21	1	5.9252	9.0050
21	6	9.6687	8.1072
21	13	7.4907	3.4151
21	18	13.7825	7.8116
21	19	7.5692	2.2819
21	26	9.6384	2.1011
21	27	7.9876	8.0065
21	28	4.5524	9.3489
21	37	1.3259	8.1717
21	39	10.7749	5.5072
21	42	13.0372	6.6954
21	50	10.4531	1.3001
21	51	4.3936	9.3267
21	61	3.9562	3.5411
21	64	1.6677	1.7166
21	68	10.5638	8.1207
21	74	10.4378	3.7586
21	76	6.7809	2.5010
21	77	5.5069	3.8095
